ID
4,2023-09-20T23:45:44.808806,2023-09-20T23:45:45.781776,GREEN MOUNTAINS,NANCY,MUSIC,GREEN GRILL,PURPLE T-SHIRT,PINK SWEATER,NONE,BLUE LOOPHEAD,0.97297,1695421068.808806
8,2023-09-20T23:45:45.805075,2023-09-20T23:45:46.796419,RAINBOW STOOP,NANCY,HEART,GREEN GRILL,GOLD LRC T-SHIRT,GOLD SWEATER,PINK RAINBOW SHADES,PURPLE LOOPHEAD,0.991344,1695421068.808806
12,2023-09-20T23:45:46.808422,2023-09-20T23:45:47.693559,RAINBOW CITY,NANCY,EARTH,DRUNK,PURPLE STRIPE T-SHIRT,GOLD SWEATER,NONE,BLACK HAIR,0.885137,1695421068.808806
15,2023-09-20T23:45:47.716569,2023-09-20T23:45:48.634782,BLUE CITY,NANCY,NONE,RAINBOW PUKE,BLUE STRIPE T-SHIRT,BLUE SWAG JACKET,BLUE LASER EYES,GREEN HAIR,0.918213,1695421068.808806
20,2023-09-20T23:45:48.651340,2023-09-20T23:45:49.553821,PINK APARTMENT,NANCY,MUSIC,DRUNK,GREEN T-SHIRT,GREEN SWEATER,GREEN SHADES,BLACK HAIR,0.902481,1695421068.808806
24,2023-09-20T23:45:49.565400,2023-09-20T23:45:50.463658,RAINBOW STOOP,NANCY,MUSIC,SAD,BLUE STRIPE T-SHIRT,GOLD JACKET,NONE,PINK LOOPHEAD,0.898258,1695421068.808806
28,2023-09-20T23:45:50.479471,2023-09-20T23:45:51.486455,RAINBOW MOON,NANCY,MUSIC,GREEN GRILL,PINK STRIPE T-SHIRT,GOLD COAT,NONE,GREEN HAIR,1.006984,1695421068.808806
32,2023-09-20T23:45:51.498590,2023-09-20T23:45:52.433543,GREEN CITY,NANCY,NONE,TONGUE OUT,PINK STRIPE T-SHIRT,GREEN SWEATER,BLUE SHADES,BLUE HAIR,0.934953,1695421068.808806
36,2023-09-20T23:45:52.449194,2023-09-20T23:45:53.295560,DARK PURPLE APARTMENT,DARK NANCY,EARTH,NONE,NONE,DARK GREEN SWAG JACKET,NONE,DARK GREEN HAIR,0.846366,1695421068.808806
40,2023-09-20T23:45:53.322120,2023-09-20T23:45:54.171496,RAINBOW STOOP,NANCY,HEART,PINK GRILL,GREEN PATTERN T-SHIRT,RAINBOW JACKET,NONE,PURPLE HAIR,0.849376,1695421068.808806
42,2023-09-20T23:45:54.185766,2023-09-20T23:45:55.037812,GREEN APARTMENT,NANCY,EARTH,GOLD GRILL,PINK PATTERN T-SHIRT,BLUE SWEATER,NONE,RAINBOW LOOPHEAD,0.852046,1695421068.808806
48,2023-09-20T23:45:55.063203,2023-09-20T23:45:55.990670,PINK MOON,NANCY,HEART,GOLD GRILL,PINK PATTERN T-SHIRT,RAINBOW SWEATER,RAINBOW LASER EYES,RAINBOW LOOPHEAD,0.927467,1695421068.808806
51,2023-09-20T23:45:56.004168,2023-09-20T23:45:56.905275,GOLD MOUNTAINS,GOLD NANCY,NONE,GOLD RAINBOW PUKE,GOLD LRC T-SHIRT,GOLD JACKET,GREEN LASER EYES,NONE,0.901107,1695421068.808806
56,2023-09-20T23:45:56.918283,2023-09-20T23:45:57.810791,GREEN MOON,NANCY,EARTH,RAINBOW PUKE,BLUE PATTERN T-SHIRT,RAINBOW JACKET,BLUE RAINBOW SHADES,RAINBOW LOOPHEAD,0.892508,1695421068.808806
60,2023-09-20T23:45:57.824257,2023-09-20T23:45:58.666582,DARK PURPLE CITY,DARK NANCY,NONE,DARK PUKE,DARK PURPLE LRC T-SHIRT,DARK PURPLE SWAG JACKET,DARK PURPLE EYES,DARK PURPLE HAIR,0.842325,1695421068.808806
63,2023-09-20T23:45:58.679210,2023-09-20T23:45:59.557190,GREEN CITY,NANCY,HEART,RAINBOW PUKE,PURPLE T-SHIRT,PURPLE JACKET,PINK RAINBOW SHADES,PINK HAIR,0.87798,1695421068.808806
67,2023-09-20T23:45:59.569935,2023-09-20T23:46:00.400037,PURPLE APARTMENT,NANCY,NONE,TONGUE OUT,PINK STRIPE T-SHIRT,NONE,RAINBOW LASER EYES,GREEN HAIR,0.830102,1695421068.808806
72,2023-09-20T23:46:00.420744,2023-09-20T23:46:01.373300,DARK GREEN CITY,DARK NANCY,HEART,PURPLE GRILL,DARK PURPLE SWAG T-SHIRT,DARK PURPLE SWAG JACKET,RAINBOW LASER EYES,DARK GREEN HAIR,0.952556,1695421068.808806
77,2023-09-20T23:46:01.385303,2023-09-20T23:46:02.271534,PINK APARTMENT,NANCY,EARTH,GOLD GRILL,BLUE STRIPE T-SHIRT,GREEN SWAG JACKET,NONE,PURPLE HAIR,0.886231,1695421068.808806
81,2023-09-20T23:46:02.285491,2023-09-20T23:46:03.080254,PINK MOON,NANCY,NONE,ANGRY,PURPLE T-SHIRT,PURPLE SWAG JACKET,NONE,BLUE HAIR,0.794763,1695421068.808806
85,2023-09-20T23:46:03.093609,2023-09-20T23:46:04.007343,PINK MOUNTAINS,NANCY,HEART,RAINBOW PUKE,BLUE STRIPE T-SHIRT,PINK COAT,NONE,RAINBOW HAIR,0.913734,1695421068.808806
89,2023-09-20T23:46:04.020563,2023-09-20T23:46:04.892698,PURPLE CITY,NANCY,NONE,SAD,GOLD PATTERN T-SHIRT,GOLD JACKET,GREEN SHADES,GREEN HAIR,0.872135,1695421068.808806
93,2023-09-20T23:46:04.910704,2023-09-20T23:46:05.717268,BLUE MOON,NANCY,EARTH,ANGRY,PURPLE STRIPE T-SHIRT,GOLD JACKET,PURPLE SHADES,RAINBOW LOOPHEAD,0.806564,1695421068.808806
97,2023-09-20T23:46:05.744790,2023-09-20T23:46:06.660611,PINK STOOP,NANCY,NONE,HAPPY,GOLD LRC T-SHIRT,RAINBOW JACKET,PURPLE SHADES,PURPLE LOOPHEAD,0.915821,1695421068.808806
101,2023-09-20T23:46:06.721518,2023-09-20T23:46:07.513612,BLUE MOON,NANCY,HEART,DRUNK,BLUE T-SHIRT,GOLD COAT,NONE,PINK HAIR,0.792094,1695421068.808806
105,2023-09-20T23:46:07.566395,2023-09-20T23:46:08.400955,GREEN STOOP,NANCY,NONE,PURPLE GRILL,NONE,GOLD JACKET,GREEN SHADES,PURPLE HAIR,0.83456,1695421068.808806
109,2023-09-20T23:46:08.413191,2023-09-20T23:46:09.209100,GREEN CITY,NANCY,MUSIC,SAD,PINK T-SHIRT,PURPLE SWEATER,GREEN LASER EYES,PURPLE HAIR,0.795909,1695421068.808806
113,2023-09-20T23:46:09.223934,2023-09-20T23:46:10.088050,GREEN STOOP,NANCY,HEART,SAD,NONE,GREEN SWAG JACKET,BLUE RAINBOW SHADES,RAINBOW HAIR,0.864116,1695421068.808806
117,2023-09-20T23:46:10.122507,2023-09-20T23:46:10.963367,PURPLE CITY,NANCY,HEART,RAINBOW PUKE,PINK PATTERN T-SHIRT,GREEN SWEATER,GREEN RAINBOW SHADES,GREEN HAIR,0.84086,1695421068.808806
120,2023-09-20T23:46:10.974674,2023-09-20T23:46:11.817628,GREEN MOON,NANCY,NONE,GREEN GRILL,GOLD LRC T-SHIRT,PURPLE SWAG JACKET,PINK SHADES,PINK LOOPHEAD,0.842954,1695421068.808806
124,2023-09-20T23:46:11.832171,2023-09-20T23:46:12.843353,DARK GREEN MOUNTAINS,DARK NANCY,NONE,PURPLE GRILL,DARK PURPLE LRC T-SHIRT,DARK GREEN JACKET,GREEN LASER EYES,DARK PURPLE HAIR,1.011182,1695421068.808806
131,2023-09-20T23:46:12.855356,2023-09-20T23:46:13.638257,RAINBOW MOUNTAINS,NANCY,MUSIC,GREEN GRILL,GOLD LRC T-SHIRT,RAINBOW COAT,NONE,PINK LOOPHEAD,0.782901,1695421068.808806
133,2023-09-20T23:46:13.651068,2023-09-20T23:46:14.449345,PURPLE STOOP,NANCY,HEART,GREEN GRILL,GREEN STRIPE T-SHIRT,GREEN SWEATER,NONE,RAINBOW LOOPHEAD,0.798277,1695421068.808806
137,2023-09-20T23:46:14.464507,2023-09-20T23:46:15.321724,BLUE CITY,NANCY,NONE,PINK GRILL,PINK T-SHIRT,GOLD SWAG JACKET,PURPLE SHADES,PINK LOOPHEAD,0.857217,1695421068.808806
140,2023-09-20T23:46:15.348252,2023-09-20T23:46:16.183270,BLUE CITY,NANCY,NONE,SAD,GREEN PATTERN T-SHIRT,RAINBOW COAT,NONE,RAINBOW HAIR,0.835018,1695421068.808806
145,2023-09-20T23:46:16.244589,2023-09-20T23:46:17.075591,GREEN APARTMENT,NANCY,HEART,BLUE GRILL,GREEN STRIPE T-SHIRT,NONE,PURPLE LASER EYES,BLUE LOOPHEAD,0.831002,1695421068.808806
148,2023-09-20T23:46:17.090503,2023-09-20T23:46:18.005796,BLUE STOOP,NANCY,EARTH,SAD,PINK T-SHIRT,PINK SWAG JACKET,NONE,PURPLE HAIR,0.915293,1695421068.808806
152,2023-09-20T23:46:18.017022,2023-09-20T23:46:18.900452,BLUE MOUNTAINS,NANCY,MUSIC,PINK GRILL,PURPLE STRIPE T-SHIRT,RAINBOW SWEATER,NONE,PURPLE HAIR,0.88343,1695421068.808806
156,2023-09-20T23:46:18.911358,2023-09-20T23:46:19.823073,RAINBOW MOUNTAINS,NANCY,EARTH,GREEN GRILL,GREEN T-SHIRT,GOLD JACKET,PURPLE LASER EYES,PINK HAIR,0.911715,1695421068.808806
160,2023-09-20T23:46:19.834075,2023-09-20T23:46:20.671728,GOLD MOON,GOLD NANCY,EARTH,GOLD GRILL,GOLD PATTERN T-SHIRT,GOLD JACKET,NONE,ONLY RAINBOW HAIR,0.837653,1695421068.808806
164,2023-09-20T23:46:20.696980,2023-09-20T23:46:21.479061,BLUE MOON,NANCY,NONE,ANGRY,PINK PATTERN T-SHIRT,PURPLE COAT,NONE,RAINBOW HAIR,0.782081,1695421068.808806
168,2023-09-20T23:46:21.531003,2023-09-20T23:46:22.333290,BLUE CITY,NANCY,NONE,PURPLE GRILL,PINK STRIPE T-SHIRT,BLUE COAT,PURPLE LASER EYES,RAINBOW HAIR,0.802287,1695421068.808806
173,2023-09-20T23:46:22.350261,2023-09-20T23:46:23.159237,BLUE STOOP,NANCY,HEART,PURPLE GRILL,PINK T-SHIRT,GREEN JACKET,NONE,BLACK HAIR,0.808976,1695421068.808806
177,2023-09-20T23:46:23.227290,2023-09-20T23:46:24.055846,RAINBOW MOON,NANCY,MUSIC,TONGUE OUT,PINK STRIPE T-SHIRT,PINK SWAG JACKET,BLUE LASER EYES,PINK HAIR,0.828556,1695421068.808806
181,2023-09-20T23:46:24.068724,2023-09-20T23:46:24.905439,PURPLE APARTMENT,NANCY,NONE,PURPLE GRILL,GOLD LRC T-SHIRT,PINK JACKET,NONE,GREEN HAIR,0.836715,1695421068.808806
185,2023-09-20T23:46:24.920286,2023-09-20T23:46:25.733139,RAINBOW MOUNTAINS,NANCY,MUSIC,PINK GRILL,PINK STRIPE T-SHIRT,GREEN SWEATER,NONE,BLUE LOOPHEAD,0.812853,1695421068.808806
189,2023-09-20T23:46:25.746408,2023-09-20T23:46:26.526270,PURPLE MOON,NANCY,NONE,DRUNK,PINK T-SHIRT,BLUE SWEATER,BLUE RAINBOW SHADES,BLACK HAIR,0.779862,1695421068.808806
193,2023-09-20T23:46:26.538565,2023-09-20T23:46:27.374501,PINK APARTMENT,NANCY,MUSIC,PINK GRILL,PURPLE STRIPE T-SHIRT,PURPLE JACKET,NONE,BLACK HAIR,0.835936,1695421068.808806
196,2023-09-20T23:46:27.402888,2023-09-20T23:46:28.249242,PURPLE STOOP,NANCY,EARTH,DRUNK,BLUE T-SHIRT,RAINBOW COAT,NONE,BLACK HAIR,0.846354,1695421068.808806
200,2023-09-20T23:46:28.315651,2023-09-20T23:46:29.169308,PURPLE MOON,NANCY,HEART,HAPPY,BLUE STRIPE T-SHIRT,PURPLE SWAG JACKET,PURPLE RAINBOW SHADES,RAINBOW LOOPHEAD,0.853657,1695421068.808806
204,2023-09-20T23:46:29.183098,2023-09-20T23:46:30.049553,DARK PURPLE CITY,DARK NANCY,NONE,NONE,DARK GREEN SWAG T-SHIRT,DARK GREEN SWEATER,PURPLE SHADES,DARK PURPLE LOOPHEAD,0.866455,1695421068.808806
209,2023-09-20T23:46:30.079087,2023-09-20T23:46:30.991347,GREEN APARTMENT,NANCY,HEART,PURPLE GRILL,BLUE T-SHIRT,BLUE JACKET,BLUE LASER EYES,BLACK HAIR,0.91226,1695421068.808806
213,2023-09-20T23:46:31.002411,2023-09-20T23:46:31.796438,GREEN CITY,NANCY,MUSIC,HAPPY,BLUE PATTERN T-SHIRT,GOLD COAT,BLUE RAINBOW SHADES,RAINBOW LOOPHEAD,0.794027,1695421068.808806
216,2023-09-20T23:46:31.874178,2023-09-20T23:46:32.712964,DARK GREEN MOUNTAINS,DARK NANCY,NONE,DARK PUKE,DARK GREEN LRC T-SHIRT,NONE,PURPLE LASER EYES,DARK PURPLE HAIR,0.838786,1695421068.808806
221,2023-09-20T23:46:32.750289,2023-09-20T23:46:33.619395,BLUE MOUNTAINS,NANCY,HEART,GREEN GRILL,PURPLE PATTERN T-SHIRT,GREEN SWAG JACKET,BLUE SHADES,PINK HAIR,0.869106,1695421068.808806
224,2023-09-20T23:46:33.639369,2023-09-20T23:46:34.470401,BLUE STOOP,NANCY,MUSIC,BLUE GRILL,PINK STRIPE T-SHIRT,RAINBOW COAT,NONE,PURPLE LOOPHEAD,0.831032,1695421068.808806
229,2023-09-20T23:46:34.498049,2023-09-20T23:46:35.343061,GOLD APARTMENT,GOLD NANCY,NONE,GOLD RAINBOW PUKE,GOLD PATTERN T-SHIRT,GOLD SWAG JACKET,NONE,ONLY RAINBOW HAIR,0.845012,1695421068.808806
233,2023-09-20T23:46:35.359699,2023-09-20T23:46:36.294427,BLUE APARTMENT,NANCY,EARTH,PINK GRILL,PURPLE T-SHIRT,PINK SWEATER,NONE,GREEN HAIR,0.934728,1695421068.808806
237,2023-09-20T23:46:36.307605,2023-09-20T23:46:37.108155,PINK STOOP,NANCY,EARTH,HAPPY,GREEN PATTERN T-SHIRT,GREEN SWEATER,NONE,BLACK HAIR,0.80055,1695421068.808806
241,2023-09-20T23:46:37.120542,2023-09-20T23:46:37.949553,PURPLE MOON,NANCY,HEART,TONGUE OUT,PURPLE STRIPE T-SHIRT,PINK JACKET,NONE,BLACK HAIR,0.829011,1695421068.808806
245,2023-09-20T23:46:37.963441,2023-09-20T23:46:38.840298,PINK MOUNTAINS,NANCY,HEART,BLUE GRILL,PINK T-SHIRT,BLUE SWAG JACKET,NONE,RAINBOW HAIR,0.876857,1695421068.808806
250,2023-09-20T23:46:38.866054,2023-09-20T23:46:39.686418,GREEN CITY,NANCY,EARTH,RAINBOW PUKE,BLUE PATTERN T-SHIRT,PURPLE JACKET,GREEN LASER EYES,RAINBOW LOOPHEAD,0.820364,1695421068.808806
254,2023-09-20T23:46:39.713618,2023-09-20T23:46:40.487149,GREEN MOON,NANCY,NONE,GOLD GRILL,BLUE PATTERN T-SHIRT,GREEN SWEATER,PINK SHADES,BLACK HAIR,0.773531,1695421068.808806
258,2023-09-20T23:46:40.503159,2023-09-20T23:46:41.424352,GOLD MOON,GOLD NANCY,MUSIC,GOLD CONFUSED,GOLD LRC T-SHIRT,GOLD SWEATER,GOLD SHADES,ONLY RAINBOW HAIR,0.921193,1695421068.808806
261,2023-09-20T23:46:41.453829,2023-09-20T23:46:42.254556,BLUE MOON,NANCY,MUSIC,PINK GRILL,BLUE PATTERN T-SHIRT,GOLD SWEATER,BLUE SHADES,PURPLE HAIR,0.800727,1695421068.808806
265,2023-09-20T23:46:42.281054,2023-09-20T23:46:43.115188,GREEN MOON,NANCY,EARTH,ANGRY,BLUE T-SHIRT,GREEN SWAG JACKET,NONE,PINK HAIR,0.834134,1695421068.808806
269,2023-09-20T23:46:43.134191,2023-09-20T23:46:43.621014,NANCY'S KITCHEN,NANCY,NONE,TOMATO SAUCE SMILE,ORANGE FOOD-STAINED RINGER T-SHIRT,NONE,NONE,PIZZA LOOPHEAD,0.486823,1695421068.808806
272,2023-09-20T23:46:43.628015,2023-09-20T23:46:44.433101,PURPLE APARTMENT,NANCY,MUSIC,DRUNK,PINK STRIPE T-SHIRT,BLUE JACKET,NONE,GREEN LOOPHEAD,0.805086,1695421068.808806
276,2023-09-20T23:46:44.450105,2023-09-20T23:46:45.283170,BLUE STOOP,NANCY,NONE,ANGRY,PINK T-SHIRT,BLUE JACKET,NONE,BLACK HAIR,0.833065,1695421068.808806
280,2023-09-20T23:46:45.312532,2023-09-20T23:46:46.128151,PINK MOON,NANCY,MUSIC,ANGRY,GOLD LRC T-SHIRT,PURPLE COAT,RAINBOW LASER EYES,BLACK HAIR,0.815619,1695421068.808806
283,2023-09-20T23:46:46.219991,2023-09-20T23:46:47.086251,GREEN CITY,NANCY,MUSIC,PURPLE GRILL,GOLD PATTERN T-SHIRT,GOLD COAT,BLUE RAINBOW SHADES,PURPLE HAIR,0.86626,1695421068.808806
288,2023-09-20T23:46:47.112564,2023-09-20T23:46:47.952182,PURPLE CITY,NANCY,MUSIC,BLUE GRILL,PINK STRIPE T-SHIRT,PURPLE SWAG JACKET,NONE,BLUE HAIR,0.839618,1695421068.808806
292,2023-09-20T23:46:47.991777,2023-09-20T23:46:48.847609,GREEN APARTMENT,NANCY,MUSIC,HAPPY,GOLD PATTERN T-SHIRT,RAINBOW SWEATER,PINK SHADES,PURPLE LOOPHEAD,0.855832,1695421068.808806
296,2023-09-20T23:46:48.885854,2023-09-20T23:46:49.746322,RAINBOW STOOP,NANCY,NONE,PINK GRILL,GOLD PATTERN T-SHIRT,PINK COAT,NONE,PINK HAIR,0.860468,1695421068.808806
300,2023-09-20T23:46:49.778610,2023-09-20T23:46:50.637775,BLUE STOOP,NANCY,MUSIC,BLUE GRILL,PINK STRIPE T-SHIRT,RAINBOW COAT,PURPLE RAINBOW SHADES,PINK HAIR,0.859165,1695421068.808806
304,2023-09-20T23:46:50.667134,2023-09-20T23:46:51.498425,BLUE STOOP,NANCY,HEART,GREEN GRILL,GREEN PATTERN T-SHIRT,PURPLE SWAG JACKET,NONE,RAINBOW LOOPHEAD,0.831291,1695421068.808806
308,2023-09-20T23:46:51.529202,2023-09-20T23:46:52.413399,RAINBOW MOON,NANCY,EARTH,PURPLE GRILL,BLUE T-SHIRT,PINK JACKET,NONE,BLUE LOOPHEAD,0.884197,1695421068.808806
312,2023-09-20T23:46:52.445447,2023-09-20T23:46:53.280110,PINK CITY,NANCY,HEART,DRUNK,GREEN PATTERN T-SHIRT,BLUE SWAG JACKET,NONE,BLUE HAIR,0.834663,1695421068.808806
315,2023-09-20T23:46:53.324652,2023-09-20T23:46:54.157062,PURPLE MOUNTAINS,NANCY,NONE,BLUE GRILL,BLUE PATTERN T-SHIRT,GOLD SWEATER,NONE,GREEN LOOPHEAD,0.83241,1695421068.808806
320,2023-09-20T23:46:54.175956,2023-09-20T23:46:55.001467,BLUE STOOP,NANCY,EARTH,RAINBOW PUKE,BLUE T-SHIRT,RAINBOW JACKET,GREEN LASER EYES,BLACK HAIR,0.825511,1695421068.808806
324,2023-09-20T23:46:55.080149,2023-09-20T23:46:55.866996,PINK STOOP,NANCY,NONE,SAD,PINK STRIPE T-SHIRT,PINK SWAG JACKET,PURPLE RAINBOW SHADES,GREEN HAIR,0.786847,1695421068.808806
328,2023-09-20T23:46:55.934912,2023-09-20T23:46:56.769212,GOLD MOUNTAINS,GOLD NANCY,NONE,GOLD GRILL,GOLD PATTERN T-SHIRT,GOLD JACKET,NONE,ONLY RAINBOW HAIR,0.8343,1695421068.808806
331,2023-09-20T23:46:56.784460,2023-09-20T23:46:57.658354,GREEN STOOP,NANCY,NONE,PURPLE GRILL,PINK STRIPE T-SHIRT,RAINBOW COAT,NONE,BLUE HAIR,0.873894,1695421068.808806
335,2023-09-20T23:46:57.673916,2023-09-20T23:46:58.512925,BLUE STOOP,NANCY,HEART,TONGUE OUT,NONE,BLUE COAT,NONE,GREEN LOOPHEAD,0.839009,1695421068.808806
340,2023-09-20T23:46:58.526929,2023-09-20T23:46:59.366548,PINK MOUNTAINS,NANCY,HEART,SAD,PINK PATTERN T-SHIRT,RAINBOW SWEATER,BLUE RAINBOW SHADES,GREEN HAIR,0.839619,1695421068.808806
344,2023-09-20T23:46:59.378847,2023-09-20T23:47:00.246050,GREEN STOOP,NANCY,NONE,GREEN GRILL,PINK PATTERN T-SHIRT,PURPLE COAT,BLUE RAINBOW SHADES,BLUE HAIR,0.867203,1695421068.808806
348,2023-09-20T23:47:00.280343,2023-09-20T23:47:01.107626,PINK MOON,NANCY,EARTH,RAINBOW PUKE,GREEN STRIPE T-SHIRT,RAINBOW JACKET,GREEN LASER EYES,PURPLE LOOPHEAD,0.827283,1695421068.808806
352,2023-09-20T23:47:01.121640,2023-09-20T23:47:01.892007,GOLD MOUNTAINS,GOLD NANCY,MUSIC,GOLD RAINBOW PUKE,NONE,GOLD COAT,PINK LASER EYES,ONLY RAINBOW HAIR,0.770367,1695421068.808806
355,2023-09-20T23:47:01.907016,2023-09-20T23:47:02.765920,GREEN CITY,NANCY,EARTH,RAINBOW PUKE,GREEN T-SHIRT,PURPLE COAT,GREEN LASER EYES,BLUE LOOPHEAD,0.858904,1695421068.808806
359,2023-09-20T23:47:02.782930,2023-09-20T23:47:03.628818,RAINBOW MOUNTAINS,NANCY,NONE,GOLD GRILL,PURPLE STRIPE T-SHIRT,GOLD COAT,PURPLE SHADES,PURPLE LOOPHEAD,0.845888,1695421068.808806
363,2023-09-20T23:47:03.648071,2023-09-20T23:47:04.553687,GREEN MOUNTAINS,NANCY,HEART,HAPPY,GREEN T-SHIRT,GREEN SWAG JACKET,BLUE LASER EYES,RAINBOW LOOPHEAD,0.905616,1695421068.808806
367,2023-09-20T23:47:04.579692,2023-09-20T23:47:05.449232,PURPLE MOUNTAINS,NANCY,MUSIC,SAD,GREEN STRIPE T-SHIRT,PINK COAT,PINK RAINBOW SHADES,PINK HAIR,0.86954,1695421068.808806
373,2023-09-20T23:47:05.464746,2023-09-20T23:47:06.345099,GREEN STOOP,NANCY,HEART,PINK GRILL,GOLD PATTERN T-SHIRT,PURPLE SWEATER,GOLD SHADES,PINK HAIR,0.880353,1695421068.808806
377,2023-09-20T23:47:06.366917,2023-09-20T23:47:07.282720,GREEN CITY,NANCY,NONE,GREEN GRILL,PURPLE T-SHIRT,GOLD JACKET,NONE,BLACK HAIR,0.915803,1695421068.808806
381,2023-09-20T23:47:07.295726,2023-09-20T23:47:08.170916,BLUE STOOP,NANCY,NONE,DRUNK,BLUE STRIPE T-SHIRT,GOLD SWEATER,NONE,PURPLE HAIR,0.87519,1695421068.808806
385,2023-09-20T23:47:08.199915,2023-09-20T23:47:09.041401,GREEN APARTMENT,NANCY,EARTH,PURPLE GRILL,PINK PATTERN T-SHIRT,PURPLE JACKET,PURPLE SHADES,BLACK HAIR,0.841486,1695421068.808806
389,2023-09-20T23:47:09.059156,2023-09-20T23:47:09.945014,RAINBOW CITY,NANCY,NONE,PURPLE GRILL,GREEN T-SHIRT,GOLD COAT,BLUE RAINBOW SHADES,GREEN LOOPHEAD,0.885858,1695421068.808806
393,2023-09-20T23:47:09.956232,2023-09-20T23:47:10.909315,PINK MOUNTAINS,NANCY,EARTH,SAD,PURPLE STRIPE T-SHIRT,RAINBOW COAT,NONE,PURPLE LOOPHEAD,0.953083,1695421068.808806
397,2023-09-20T23:47:10.930327,2023-09-20T23:47:11.886787,RAINBOW CITY,NANCY,HEART,SAD,PINK T-SHIRT,GREEN SWEATER,GOLD SHADES,GREEN HAIR,0.95646,1695421068.808806
401,2023-09-20T23:47:11.898795,2023-09-20T23:47:12.832695,BLUE CITY,NANCY,EARTH,DRUNK,PINK PATTERN T-SHIRT,PINK JACKET,NONE,PINK HAIR,0.9339,1695421068.808806
407,2023-09-20T23:47:12.888172,2023-09-20T23:47:13.748631,GREEN APARTMENT,NANCY,EARTH,SAD,GREEN PATTERN T-SHIRT,RAINBOW SWEATER,NONE,PINK HAIR,0.860459,1695421068.808806
411,2023-09-20T23:47:13.774670,2023-09-20T23:47:14.614326,PINK APARTMENT,NANCY,NONE,DRUNK,PINK PATTERN T-SHIRT,GOLD SWAG JACKET,PINK LASER EYES,PURPLE HAIR,0.839656,1695421068.808806
